sample_accession	run_accession	library_layout	organism	Platform	UMI	study_accession	Tissue	Covariate	Age	integration_group	TissueNote
SRX4106042	SRR7189318	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE07	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Nasal
SRX4106043	SRR7189319	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE07	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Pigment epithelium
SRX4106044	SRR7189320	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE08	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Dorsal
SRX4106045	SRR7189321	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE08	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Nasal
SRX4106046	SRR7189322	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE08	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Pigment epithelium
SRX4106047	SRR7189323	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE08	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Temporal
SRX4106048	SRR7189324	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE08	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Ventral
SRX4106049	SRR7189325	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE09	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Dorsal
SRX4106050	SRR7189326	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE09	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Nasal
SRX4106051	SRR7189327	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE09	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Pigment epithelium
SRX4106052	SRR7189328	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE10	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Dorsal
SRX4106053	SRR7189329	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE10	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Nasal
SRX4106054	SRR7189330	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE10	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Pigment epithelium
SRX4106055	SRR7189331	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE10	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Temporal
SRX4106056	SRR7189332	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE10	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Ventral
SRX4106057	SRR7189333	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE11	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Dorsal
SRX4106058	SRR7189334	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE11	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Nasal
SRX4106059	SRR7189335	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE11	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Pigment epithelium
SRX4106060	SRR7189336	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE11	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Temporal
SRX4106061	SRR7189337	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE11	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Ventral
SRX4106062	SRR7189338	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE12	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Dorsal
SRX4106063	SRR7189339	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE12	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Nasal
SRX4106064	SRR7189340	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE12	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Pigment epithelium
SRX4106065	SRR7189341	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE12	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Temporal
SRX4106066	SRR7189342	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE13	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Dorsal
SRX4106067	SRR7189343	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE13	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Temporal
SRX4106068	SRR7189344	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE13	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Ventral
SRX4106069	SRR7189345	PAIRED	Macaca fascicularis	STRT-seq	YES	SRP144200	Retina	CE14	NA	12/09/2020	Retina tissue cells;Retina tissue cells;Dorsal
