Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
0610005C13RIK	current symbol	MGI:1918911	0610005C13Rik	RIKEN cDNA 0610005C13 gene	lncRNA gene
0610007C21RIK	old symbol	MGI:1918918	Atraid	all-trans retinoic acid induced differentiation factor	protein coding gene
0610007L01RIK	old symbol	MGI:1918917	Tmem248	transmembrane protein 248	protein coding gene
0610007N19RIK	old symbol	MGI:1914085	Snhg18	small nucleolar RNA host gene 18	lncRNA gene
0610007P08RIK	old symbol	MGI:1923501	Ercc6l2	excision repair cross-complementing rodent repair deficiency, complementation group 6 like 2	protein coding gene
0610007P14RIK	old symbol	MGI:1915571	Erg28	ergosterol biosynthesis 28	protein coding gene
0610007P22RIK	old symbol	MGI:1915577	Tsr3	TSR3 20S rRNA accumulation	protein coding gene
0610008F07RIK	old symbol	MGI:1915564	Hnf4aos	hepatic nuclear factor 4 alpha, opposite strand	antisense lncRNA gene
0610009B14RIK	old symbol	MGI:1915604	Plekhd1os	pleckstrin homology domain containing, family D (with coiled-coil domains) member 1, opposite strand	antisense lncRNA gene
0610009B22RIK	current symbol	MGI:1913300	0610009B22Rik	RIKEN cDNA 0610009B22 gene	protein coding gene
0610009D07RIK	old symbol	MGI:1913305	Sf3b6	splicing factor 3B, subunit 6	protein coding gene
0610009L18RIK	current symbol	MGI:1914088	0610009L18Rik	RIKEN cDNA 0610009L18 gene	lncRNA gene
0610009O20RIK	old symbol	MGI:1914089	Dele1	DAP3 binding cell death enhancer 1	protein coding gene
0610010B08RIK	old symbol	MGI:3780195	Gm2026	predicted gene 2026	protein coding gene
0610010B08RIK	related synonym	MGI:3782813	Gm4631	predicted gene 4631	protein coding gene
0610010F05RIK	current symbol	MGI:1918925	0610010F05Rik	RIKEN cDNA 0610010F05 gene	protein coding gene
0610010K14RIK	current symbol	MGI:1915609	0610010K14Rik	RIKEN cDNA 0610010K14 gene	protein coding gene
0610010O12RIK	old symbol	MGI:1913310	Cystm1	cysteine-rich transmembrane module containing 1	protein coding gene
0610011F06RIK	old symbol	MGI:1915597	Mettl26	methyltransferase like 26	protein coding gene
0610011L14RIK	old symbol	MGI:1915545	Aar2	AAR2 splicing factor homolog	protein coding gene
0610012G03RIK	current symbol	MGI:1913301	0610012G03Rik	RIKEN cDNA 0610012G03 gene	protein coding gene
0610012H03RIK	old symbol	MGI:1921338	Them7	thioesterase superfamily member 7	protein coding gene
0610030E20RIK	current symbol	MGI:1915614	0610030E20Rik	RIKEN cDNA 0610030E20 gene	protein coding gene
0610031J06RIK	old symbol	MGI:1913318	Glmp	glycosylated lysosomal membrane protein	protein coding gene
0610031O16RIK	current symbol	MGI:1915619	0610031O16Rik	RIKEN cDNA 0610031O16 gene	lncRNA gene
0610037L13RIK	old symbol	MGI:1921348	Czib	CXXC motif containing zinc binding protein	protein coding gene
0610037P05RIK	old symbol	MGI:1913336	Cep20	centrosomal protein 20	protein coding gene
0610038B21RIK	current symbol	MGI:1917595	0610038B21Rik	RIKEN cDNA 0610038B21 gene	lncRNA gene
0610038L08RIK	old symbol	MGI:1921342	Tbc1d22bos	TBC1 domain family, member 22B, opposite strand	antisense lncRNA gene
