NAME	nGENE	nUMI	biosample_id	donor_id	species	species__ontology_label	disease	disease__ontology_label	organ	organ__ontology_label	library_preparation_protocol	library_preparation_protocol__ontology_label	sex	ventricle	cell_type	cell_type__ontology_label	cell_type_subset__ontology_label
TYPE	numeric	numeric	group	group	group	group	group	group	group	group	group	group	group	group	group	group	group
E.3V.V1.Rep1_2	2607	13467	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_3	2415	14997	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_9	2526	13611	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_10	3188	21276	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_11	1557	10664	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_13	2425	15291	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_15	2365	13378	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_16	2312	10795	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_18	2429	14740	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_20	2482	12446	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_26	2608	14242	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_28	2859	16340	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_29	2198	13610	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_30	1887	10703	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_36	2532	15700	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_37	2799	16032	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_38	2916	18631	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_40	2532	12210	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_42	2647	11815	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_48	2424	10592	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_49	1985	10549	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_50	2725	18723	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_51	2272	12545	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_58	2664	16048	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_60	2449	13817	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_62	2487	13901	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
E.3V.V1.Rep1_63	1927	10251	E.3V.V1.Rep1	V1_Rep1	NCBITaxon_10090	Mus musculus	PATO_0000461	normal	UBERON_0001886	choroid plexus	EFO_0009901	10x 3' v1 sequencing	mixed	DCP	CL_0000066	epithelial cell	
