Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,developmental_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR12386341,RNA-Seq,132,18033634344,PRJNA655218,SAMN15729615,8137709232,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",10 PCW,SRX8884952,GSM4710450,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-19T00:00:00Z,GSM4710450,Cornea/Conjunctiva,SRP275814
SRR12386342,RNA-Seq,125,2838197250,PRJNA655218,SAMN15729614,949572128,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",10 PCW,SRX8884953,GSM4710451,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-19T00:00:00Z,GSM4710451,Cornea/Conjunctiva,SRP275814
SRR12386343,RNA-Seq,125,78509635625,PRJNA655218,SAMN15729613,24081808779,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",12 PCW,SRX8884954,GSM4710452,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-19T00:00:00Z,GSM4710452,Cornea/Conjunctiva,SRP275814
SRR12386344,RNA-Seq,125,56015158250,PRJNA655218,SAMN15729612,17915874957,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",12 PCW,SRX8884955,GSM4710453,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-19T00:00:00Z,GSM4710453,Cornea/Conjunctiva,SRP275814
SRR12386345,RNA-Seq,125,59047709750,PRJNA655218,SAMN15729611,18913003692,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",12 PCW,SRX8884956,GSM4710454,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-19T00:00:00Z,GSM4710454,Cornea/Conjunctiva,SRP275814
SRR12386346,RNA-Seq,125,51575385125,PRJNA655218,SAMN15729610,16161164118,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",12 PCW,SRX8884957,GSM4710455,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-19T00:00:00Z,GSM4710455,Cornea/Conjunctiva,SRP275814
SRR12386347,RNA-Seq,125,40293593750,PRJNA655218,SAMN15729609,13114163806,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",13 PCW,SRX8884958,GSM4710456,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-19T00:00:00Z,GSM4710456,Cornea/Conjunctiva,SRP275814
SRR12386348,RNA-Seq,125,69418307375,PRJNA655218,SAMN15729608,22364986090,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",13 PCW,SRX8884959,GSM4710457,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-19T00:00:00Z,GSM4710457,Cornea/Conjunctiva,SRP275814
SRR12386349,RNA-Seq,125,57859632875,PRJNA655218,SAMN15729607,18319676933,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",14 PCW,SRX8884960,GSM4710458,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-19T00:00:00Z,GSM4710458,Cornea/Conjunctiva,SRP275814
SRR12386350,RNA-Seq,125,71102128250,PRJNA655218,SAMN15729606,23294008079,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",14 PCW,SRX8884961,GSM4710459,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-19T00:00:00Z,GSM4710459,Cornea/Conjunctiva,SRP275814
