sample_accession	run_accession	library_layout
SRS1397503	SRR3375526	SINGLE
SRS1397500	SRR3375528	SINGLE
SRS1397499	SRR3375529	SINGLE
SRS1397475	SRR3375554	SINGLE
SRS1397471	SRR3375558	SINGLE
SRS1397458	SRR3375573	SINGLE
SRS1397447	SRR3375582	SINGLE
SRS1397445	SRR3375584	SINGLE
SRS1397439	SRR3375589	SINGLE
SRS1397438	SRR3375592	SINGLE
SRS1397423	SRR3375603	SINGLE
SRS1397412	SRR3375617	SINGLE
SRS1397411	SRR3375618	SINGLE
SRS1397407	SRR3375621	SINGLE
SRS1397403	SRR3375626	SINGLE
SRS1397369	SRR3375662	SINGLE
SRS1397367	SRR3375666	SINGLE
SRS1397358	SRR3375681	SINGLE
SRS1397355	SRR3375689	SINGLE
SRS1397351	SRR3375698	SINGLE
SRS1397349	SRR3375700	SINGLE
SRS1397344	SRR3375710	SINGLE
SRS1397341	SRR3375718	SINGLE
SRS1397332	SRR3375733	SINGLE
SRS1397329	SRR3375739	SINGLE
SRS1397318	SRR3375760	SINGLE
SRS1397305	SRR3375784	SINGLE
SRS1397292	SRR3375801	SINGLE
SRS1397283	SRR3375810	SINGLE
SRS1397277	SRR3375816	SINGLE
SRS1397276	SRR3375817	SINGLE
SRS1397258	SRR3375835	SINGLE
SRS1397242	SRR3375851	SINGLE
SRS1397188	SRR3375870	SINGLE
SRS1467273	SRR3587543	SINGLE
SRS1467278	SRR3587548	SINGLE
SRS1467280	SRR3587550	SINGLE
SRS1467289	SRR3587558	SINGLE
SRS1467305	SRR3587574	SINGLE
SRS1467313	SRR3587582	SINGLE
SRS1467315	SRR3587584	SINGLE
SRS1467316	SRR3587585	SINGLE
SRS1467338	SRR3587607	SINGLE
SRS1467347	SRR3587616	SINGLE
SRS1467350	SRR3587619	SINGLE
SRS1467367	SRR3587637	SINGLE
SRS1467370	SRR3587639	SINGLE
SRS1467371	SRR3587640	SINGLE
SRS1467375	SRR3587644	SINGLE
SRS1467384	SRR3587655	SINGLE
SRS1467390	SRR3587661	SINGLE
SRS1467399	SRR3587668	SINGLE
SRS1467404	SRR3587673	SINGLE
SRS1467406	SRR3587674	SINGLE
SRS1467411	SRR3587680	SINGLE
SRS1467412	SRR3587681	SINGLE
SRS1467423	SRR3587692	SINGLE
SRS1467428	SRR3587698	SINGLE
SRS1467430	SRR3587699	SINGLE
SRS1467436	SRR3587705	SINGLE
SRS1467439	SRR3587708	SINGLE
SRS1467448	SRR3587716	SINGLE
SRS1467451	SRR3587719	SINGLE
SRS1467457	SRR3587726	SINGLE
SRS1467479	SRR3587746	SINGLE
SRS1467477	SRR3587747	SINGLE
SRS1467482	SRR3587751	SINGLE
SRS1467491	SRR3587760	SINGLE
SRS1467514	SRR3587784	SINGLE
SRS1467525	SRR3587795	SINGLE
SRS1467528	SRR3587797	SINGLE
SRS1467540	SRR3587808	SINGLE
SRS1467546	SRR3587814	SINGLE
SRS1467556	SRR3587825	SINGLE
SRS1467558	SRR3587827	SINGLE
SRS1467568	SRR3587837	SINGLE
SRS1467587	SRR3587856	SINGLE
SRS1467597	SRR3587866	SINGLE
SRS1467609	SRR3587878	SINGLE
SRS1467631	SRR3587901	SINGLE
SRS1467633	SRR3587902	SINGLE
SRS1467637	SRR3587905	SINGLE
SRS1467251	SRR3587502	PAIRED
SRS1467253	SRR3587504	PAIRED
SRS2166271	SRR5508610	SINGLE
SRS2166272	SRR5508611	SINGLE
SRS2166274	SRR5508612	SINGLE
SRS2166283	SRR5508621	SINGLE
SRS2166296	SRR5508635	SINGLE
SRS2166314	SRR5508653	SINGLE
