sample_accession	run_accession	library_layout	organism	Platform	UMI	study_accession	Tissue	Covariate	Age	integration_group	TissueNote
SRS3044263	SRR6835871	PAIRED	Mus musculus	10xv2	YES	SRP131661	Trachea	3-M-7/8	90	Late	TabulaMuris
SRS3044262	SRR6835870	PAIRED	Mus musculus	10xv2	YES	SRP131661	Trachea	3-M-5/6	90	Late	TabulaMuris
SRS3044261	SRR6835869	PAIRED	Mus musculus	10xv2	YES	SRP131661	Lung	3-M-7/8	90	Late	TabulaMuris
SRS3044260	SRR6835868	PAIRED	Mus musculus	10xv2	YES	SRP131661	Lung	3-M-5/6	90	Late	TabulaMuris
SRS3044259	SRR6835867	PAIRED	Mus musculus	10xv2	YES	SRP131661	Limb_Muscle	3-F-57	90	Late	TabulaMuris
SRS3044258	SRR6835866	PAIRED	Mus musculus	10xv2	YES	SRP131661	Limb_Muscle	3-F-56	90	Late	TabulaMuris
SRS3044257	SRR6835865	PAIRED	Mus musculus	10xv2	YES	SRP131661	Mammary_Gland	3-F-57	90	Late	TabulaMuris
SRS3044256	SRR6835864	PAIRED	Mus musculus	10xv2	YES	SRP131661	Mammary_Gland	3-F-56	90	Late	TabulaMuris
SRS3044255	SRR6835863	PAIRED	Mus musculus	10xv2	YES	SRP131661	Thymus	3-F-56	90	Late	TabulaMuris
SRS3044254	SRR6835862	PAIRED	Mus musculus	10xv2	YES	SRP131661	Tongue	3-F-56	90	Late	TabulaMuris
SRS3044253	SRR6835861	PAIRED	Mus musculus	10xv2	YES	SRP131661	Lung	3-F-57	90	Late	TabulaMuris
SRS3044252	SRR6835860	PAIRED	Mus musculus	10xv2	YES	SRP131661	Lung	3-F-56	90	Late	TabulaMuris
SRS3044251	SRR6835859	PAIRED	Mus musculus	10xv2	YES	SRP131661	Bladder	3-F-56	90	Late	TabulaMuris
SRS3044250	SRR6835858	PAIRED	Mus musculus	10xv2	YES	SRP131661	Spleen	3-F-56	90	Late	TabulaMuris
SRS3044249	SRR6835857	PAIRED	Mus musculus	10xv2	YES	SRP131661	Kidney	3-F-57	90	Late	TabulaMuris
SRS3044248	SRR6835856	PAIRED	Mus musculus	10xv2	YES	SRP131661	Heart_and_Aorta	3-F-56	90	Late	TabulaMuris
SRS3044247	SRR6835855	PAIRED	Mus musculus	10xv2	YES	SRP131661	Marrow	3-F-57	90	Late	TabulaMuris
SRS3044246	SRR6835854	PAIRED	Mus musculus	10xv2	YES	SRP131661	Marrow	3-F-56	90	Late	TabulaMuris
SRS3044245	SRR6835853	PAIRED	Mus musculus	10xv2	YES	SRP131661	Liver	3-F-57	90	Late	TabulaMuris
SRS3044244	SRR6835852	PAIRED	Mus musculus	10xv2	YES	SRP131661	Liver	3-F-56	90	Late	TabulaMuris
SRS3044243	SRR6835851	PAIRED	Mus musculus	10xv2	YES	SRP131661	Spleen	3-M-8	90	Late	TabulaMuris
SRS3044242	SRR6835850	PAIRED	Mus musculus	10xv2	YES	SRP131661	Kidney	3-M-9	90	Late	TabulaMuris
SRS3044241	SRR6835849	PAIRED	Mus musculus	10xv2	YES	SRP131661	Kidney	3-M-8	90	Late	TabulaMuris
SRS3044240	SRR6835848	PAIRED	Mus musculus	10xv2	YES	SRP131661	Bladder	3-M-9	90	Late	TabulaMuris
