sample_accession	run_accession	library_layout	organism	Platform	UMI	study_accession	Tissue	Covariate	Age	integration_group	TissueNote	Source	bam10x	Comment	biosample	Organ
EGAF00004257586	EGAF00004257586	PAIRED	Homo sapiens	10xv2	YES	EGAD00001006350	Retina	D1_Re	NA	Late	HS_D1_Re_F_Rt_S1_lib1 Sample alias: Homo Sapiens (HS)_Donor number_Retina (Re) or Choroid (Ch)_Fovea (F) or Periphery (P)_Right (Rt) or left (Lf) eye_Sample number_technical replicate number	Tissue	NA		NA	Eye
EGAF00004257560	EGAF00004257560	PAIRED	Homo sapiens	10xv2	YES	EGAD00001006350	Choroid	D3_Ch	NA	Late	HS_D3_Ch_F_Lf_S1_lib1 Sample alias: Homo Sapiens (HS)_Donor number_Retina (Re) or Choroid (Ch)_Fovea (F) or Periphery (P)_Right (Rt) or left (Lf) eye_Sample number_technical replicate number	Tissue	NA		NA	Choroid
EGAF00004257585	EGAF00004257585	PAIRED	Homo sapiens	10xv2	YES	EGAD00001006350	Retina	D1_Re	NA	Late	HS_D1_Re_F_Rt_S1_lib2 Sample alias: Homo Sapiens (HS)_Donor number_Retina (Re) or Choroid (Ch)_Fovea (F) or Periphery (P)_Right (Rt) or left (Lf) eye_Sample number_technical replicate number	Tissue	NA		NA	Eye
EGAF00004257558	EGAF00004257558	PAIRED	Homo sapiens	10xv2	YES	EGAD00001006350	Choroid	D3_Ch	NA	Late	HS_D3_Ch_F_Lf_S1_lib2 Sample alias: Homo Sapiens (HS)_Donor number_Retina (Re) or Choroid (Ch)_Fovea (F) or Periphery (P)_Right (Rt) or left (Lf) eye_Sample number_technical replicate number	Tissue	NA		NA	Choroid
EGAF00004257584	EGAF00004257584	PAIRED	Homo sapiens	10xv2	YES	EGAD00001006350	Retina	D1_Re	NA	Late	HS_D1_Re_F_Rt_S1_lib3 Sample alias: Homo Sapiens (HS)_Donor number_Retina (Re) or Choroid (Ch)_Fovea (F) or Periphery (P)_Right (Rt) or left (Lf) eye_Sample number_technical replicate number	Tissue	NA		NA	Eye
EGAF00004257582	EGAF00004257582	PAIRED	Homo sapiens	10xv2	YES	EGAD00001006350	Retina	D1_Re	NA	Late	HS_D1_Re_F_Rt_S1_lib4 Sample alias: Homo Sapiens (HS)_Donor number_Retina (Re) or Choroid (Ch)_Fovea (F) or Periphery (P)_Right (Rt) or left (Lf) eye_Sample number_technical replicate number	Tissue	NA		NA	Eye
EGAF00004257550	EGAF00004257550	PAIRED	Homo sapiens	10xv2	YES	EGAD00001006350	Choroid	D3_Ch	NA	Late	HS_D3_Ch_F_Rt_S1_lib1 Sample alias: Homo Sapiens (HS)_Donor number_Retina (Re) or Choroid (Ch)_Fovea (F) or Periphery (P)_Right (Rt) or left (Lf) eye_Sample number_technical replicate number	Tissue	NA		NA	Choroid
EGAF00004257581	EGAF00004257581	PAIRED	Homo sapiens	10xv2	YES	EGAD00001006350	Retina	D1_Re	NA	Late	HS_D1_Re_F_Rt_S1_lib5 Sample alias: Homo Sapiens (HS)_Donor number_Retina (Re) or Choroid (Ch)_Fovea (F) or Periphery (P)_Right (Rt) or left (Lf) eye_Sample number_technical replicate number	Tissue	NA		NA	Eye
EGAF00004257549	EGAF00004257549	PAIRED	Homo sapiens	10xv2	YES	EGAD00001006350	Choroid	D3_Ch	NA	Late	HS_D3_Ch_F_Rt_S1_lib2 Sample alias: Homo Sapiens (HS)_Donor number_Retina (Re) or Choroid (Ch)_Fovea (F) or Periphery (P)_Right (Rt) or left (Lf) eye_Sample number_technical replicate number	Tissue	NA		NA	Choroid
EGAF00004257583	EGAF00004257583	PAIRED	Homo sapiens	10xv2	YES	EGAD00001006350	Retina	D1_Re	NA	Late	HS_D1_Re_F_Rt_S1_lib6 Sample alias: Homo Sapiens (HS)_Donor number_Retina (Re) or Choroid (Ch)_Fovea (F) or Periphery (P)_Right (Rt) or left (Lf) eye_Sample number_technical replicate number	Tissue	NA		NA	Eye
