sample_accession	run_accession	library_layout	organism	Platform	UMI	study_accession	Tissue	Covariate	Age	integration_group	TissueNote	Source	bam10x	Comment	biosample	Organ	sex	retina_region	strain
SRS7729953	SRR13075732	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Trachea	NA	Adult	NA	GSM4850591: Trachea_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Trachea_cDNA	Tissue	NA	NA	SAMN16523262	Trachea	Male	NA	NA
SRS7729951	SRR13075731	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Stomach	NA	Adult	NA	GSM4850590: Stomach_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Stomach_cDNA	Tissue	NA	NA	SAMN16523263	Stomach	Male	NA	NA
SRS7729952	SRR13075730	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Spleen	NA	Adult	NA	GSM4850589: Spleen_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Spleen_cDNA	Tissue	NA	NA	SAMN16523264	Spleen	Male	NA	NA
SRS7729950	SRR13075729	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Small.intestine	NA	Adult	NA	GSM4850588: Small.intestine_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Small.intestine_cDNA	Tissue	NA	NA	SAMN16523265	Small.intestine	Male	NA	NA
SRS7729949	SRR13075728	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Skin	NA	Adult	NA	GSM4850587: Skin_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Skin_cDNA	Tissue	NA	NA	SAMN16523251	Skin	Male	NA	NA
SRS7729948	SRR13075727	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Rectum	NA	Adult	NA	GSM4850586: Rectum_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Rectum_cDNA	Tissue	NA	NA	SAMN16523252	Rectum	Male	NA	NA
SRS7729947	SRR13075726	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Muscle	NA	Adult	NA	GSM4850585: Muscle_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Muscle_cDNA	Tissue	NA	NA	SAMN16523253	Muscle	Male	NA	NA
SRS7729946	SRR13075725	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Marrow	NA	Adult	NA	GSM4850584: Marrow_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Marrow_cDNA	Tissue	NA	NA	SAMN16523254	Marrow	Male	NA	NA
SRS7729945	SRR13075724	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Lymph.node	NA	Adult	NA	GSM4850583: Lymph.node_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Lymph.node_cDNA	Tissue	NA	NA	SAMN16523255	Lymph.node	Male	NA	NA
SRS7729944	SRR13075723	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Liver	NA	Adult	NA	GSM4850582: Liver_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Liver_cDNA	Tissue	NA	NA	SAMN16523256	Liver	Male	NA	NA
SRS7729943	SRR13075722	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Heart	NA	Adult	NA	GSM4850581: Heart_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Heart_cDNA	Tissue	NA	NA	SAMN16523257	Heart	Male	NA	NA
SRS7729942	SRR13075721	PAIRED	Homo sapiens	10xv2	Yes	SRP292721	Esophagus	NA	Adult	NA	GSM4850580: Esophagus_cDNA; Homo sapiens; RNA-Seq | An adult male donor who died of a traumatic brain injury | Esophagus_cDNA	Tissue	NA	NA	SAMN16523258	Esophagus	Male	NA	NA
