sample_accession	run_accession	library_layout	organism	Platform	UMI
SRS4715841	SRR9004394	PAIRED	Homo sapiens	10xv3	YES
SRS3729717	SRR7773403	SINGLE	Homo sapiens	BULK	NO
SRS3732876	SRR7776738	SINGLE	Homo sapiens	SCRBSeq	YES
SRS2166836	SRR5509029	SINGLE	Homo sapiens	SMARTerSeq_v3	NO
SRS3106664	SRR6916812	PAIRED	Homo sapiens	SMARTSeq_v4	NO
SRS3698218	SRR7733529	PAIRED	Macaca fascicularis	10xv2	YES
SRS3971246	SRR8099208	PAIRED	Mus musculus	10xv2	YES
SRS3371555	SRR7254619	SINGLE	Mus musculus	BULK	NO
SRS1467250	SRR3587501	PAIRED	Mus musculus	DropSeq	YES
SRS3675268	SRR7700066	PAIRED	Mus musculus	SMARTSeq_v2	NO
