sample_accession	study_accession	bam	url	run_accession
SRS6424747	SRP255195	H5FoveaS4.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRZ/011478/SRR11478921/H5FoveaS4.bam	SRR11478921
SRS6424746	SRP255195	H5FoveaS3.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra72/SRZ/011478/SRR11478920/H5FoveaS3.bam	SRR11478920
SRS6424745	SRP255195	H5FoveaS2.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra65/SRZ/011478/SRR11478919/H5FoveaS2.bam	SRR11478919
SRS6424744	SRP255195	H5FoveaS1.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra72/SRZ/011478/SRR11478918/H5FoveaS1.bam	SRR11478918
SRS6424743	SRP255195	H4FoveaS1.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra63/SRZ/011478/SRR11478917/H4FoveaS1.bam	SRR11478917
SRS6424742	SRP255195	H3FoveaS3.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra63/SRZ/011478/SRR11478916/H3FoveaS3.bam	SRR11478916
SRS6424741	SRP255195	H3FoveaS2.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra72/SRZ/011478/SRR11478915/H3FoveaS2.bam	SRR11478915
SRS6424740	SRP255195	H3FoveaS1.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra62/SRZ/011478/SRR11478914/H3FoveaS1.bam	SRR11478914
SRS6424739	SRP255195	H11FoveaS1.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra62/SRZ/011478/SRR11478924/H11FoveaS1.bam	SRR11478924
SRS6424737	SRP255195	H5FoveaS5.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra1/SRZ/011478/SRR11478922/H5FoveaS5.bam	SRR11478922
SRS6424736	SRP255195	H3CD90S2.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra63/SRZ/011478/SRR11478913/H3CD90S2.bam	SRR11478913
SRS6424735	SRP255195	H3CD90S1.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra67/SRZ/011478/SRR11478912/H3CD90S1.bam	SRR11478912
SRS6424734	SRP255195	H3CD73dpS2.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra80/SRZ/011478/SRR11478911/H3CD73dpS2.bam	SRR11478911
SRS6424732	SRP255195	H2Fovea2S1.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra62/SRZ/011478/SRR11478909/H2Fovea2S1.bam	SRR11478909
SRS6424730	SRP255195	H1CD90S1.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra72/SRZ/011478/SRR11478907/H1CD90S1.bam	SRR11478907
SRS6424729	SRP255195	H1CD73dpS1.bam	https://sra-download.ncbi.nlm.nih.gov/traces/sra0/SRZ/011478/SRR11478906/H1CD73dpS1.bam	SRR11478906
SRS3044263	SRP131661	10X_P8_15.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835871/10X_P8_15.bam.1	SRR6835871
SRS3044262	SRP131661	10X_P8_14.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835870/10X_P8_14.bam.1	SRR6835870
SRS3044261	SRP131661	10X_P8_13.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835869/10X_P8_13.bam.1	SRR6835869
SRS3044260	SRP131661	10X_P8_12.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835868/10X_P8_12.bam.1	SRR6835868
SRS3044259	SRP131661	10X_P7_15.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835867/10X_P7_15.bam.1	SRR6835867
SRS3044258	SRP131661	10X_P7_14.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835866/10X_P7_14.bam.1	SRR6835866
SRS3044257	SRP131661	10X_P7_13.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835865/10X_P7_13.bam.1	SRR6835865
SRS3044256	SRP131661	10X_P7_12.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835864/10X_P7_12.bam.1	SRR6835864
SRS3044255	SRP131661	10X_P7_11.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835863/10X_P7_11.bam.1	SRR6835863
SRS3044254	SRP131661	10X_P7_10.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835862/10X_P7_10.bam.1	SRR6835862
SRS3044253	SRP131661	10X_P7_9.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835861/10X_P7_9.bam.1	SRR6835861
SRS3044252	SRP131661	10X_P7_8.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835860/10X_P7_8.bam.1	SRR6835860
SRS3044251	SRP131661	10X_P7_7.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835859/10X_P7_7.bam.1	SRR6835859
SRS3044250	SRP131661	10X_P7_6.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835858/10X_P7_6.bam.1	SRR6835858
